team,matchs_played,super_raid,super_tackle,all_outs_inflicted,all_outs_conceded,season
Bengal Warriors,19,15,12,31,16,7
Bengaluru Bulls,19,8,25,21,24,7
Dabang Delhi K.C.,19,8,8,33,15,7
Gujarat Fortunegiants,20,5,17,21,22,7
Haryana Steelers,19,14,14,27,21,7
Jaipur Pink Panthers,20,7,32,19,23,7
Patna Pirates,19,13,23,28,23,7
Puneri Paltan,20,6,25,18,33,7
Tamil Thalaivas,19,4,13,13,29,7
Telugu Titans,18,9,21,13,22,7
U Mumba,18,7,16,25,20,7
U.P. Yoddha,18,5,16,21,22,7
