,rank,name,type,matchs_played,score,profile_name,season,player_id,team_name,team_id
121,116.0,Chandran Ranjit,Raider,1,1.0,/players/chandran-ranjit,2,36,/teams/telugu-titans,8
122,116.0,Inderpal Bishnoi,Raider,2,1.0,/players/inderpal-bishnoi,2,224,/teams/dabang-delhi-kc,2
123,116.0,Amit Kumar,All Rounder,1,1.0,/players/amit-kumar,2,237,/teams/puneri-paltan,7
124,116.0,Kazuhiro Takano,All Rounder,2,1.0,/players/kazuhiro-takano,2,199,/teams/jaipur-pink-panthers,3
125,116.0,Mohammad Maghshoudulu,All Rounder,4,1.0,/players/mohammad-maghshoudulu,2,200,/teams/jaipur-pink-panthers,3
126,116.0,Adinath Sakharam Gavali,"Defender, right and left cover",1,1.0,/players/adinath-sakharam-gavali,2,201,/teams/bengaluru-bulls,1
127,116.0,Jishnu,"Defender, right cover",3,1.0,/players/jishnu,2,239,/teams/telugu-titans,8
0,1.0,Pardeep Narwal,Raider,16,121.0,/players/pardeep-narwal,3,197,/teams/patna-pirates,6
1,2.0,Rishank Devadiga,Raider,16,115.0,/players/rishank-devadiga,3,94,/teams/u-mumba,5
2,3.0,Rohit Kumar,Raider,12,109.0,/players/rohit-kumar,3,326,/teams/patna-pirates,6
3,4.0,Manjeet Chhillar,All Rounder,15,106.0,/players/manjeet-chhillar,3,69,/teams/puneri-paltan,7
4,5.0,Rahul Chaudhari,Raider,13,99.0,/players/rahul-chaudhari,3,81,/teams/telugu-titans,8
5,6.0,Jang Kun Lee,Raider,15,90.0,/players/jang-kun-lee,3,12,/teams/bengal-warriors,4
6,7.0,Nitin Tomar,Raider,10,81.0,/players/nitin-tomar,3,320,/teams/bengal-warriors,4
7,8.0,Rajesh Narwal,All Rounder,14,80.0,/players/rajesh-narwal,3,86,/teams/jaipur-pink-panthers,3
8,9.0,Anup Kumar,Raider,13,79.0,/players/anup-kumar,3,29,/teams/u-mumba,5
9,10.0,Kashiling Adake,Raider,11,78.0,/players/kashiling-adake,3,58,/teams/dabang-delhi-kc,2
10,11.0,Deepak Niwas Hooda,All Rounder,12,76.0,/players/deepak-niwas-hooda,3,41,/teams/puneri-paltan,7
11,12.0,CPO Surjeet Singh,Raider,12,68.0,/players/cpo-surjeet-singh,3,119,/teams/dabang-delhi-kc,2
12,13.0,Sukesh Hegde,Raider,13,64.0,/players/sukesh-hegde,3,111,/teams/telugu-titans,8
13,13.0,Sandeep Narwal,All Rounder,14,64.0,/players/sandeep-narwal,3,142,/teams/patna-pirates,6
14,15.0,Ajay Thakur,Raider,14,56.0,/players/ajay-thakur,3,26,/teams/puneri-paltan,7
15,15.0,Rohit Baliyan,Raider,11,56.0,/players/rohit-baliyan,3,261,/teams/telugu-titans,8
16,17.0,Sonu Narwal,Raider,11,55.0,/players/sonu-narwal,3,190,/teams/jaipur-pink-panthers,3
17,18.0,Pawan Kumar Sehrawat,Raider,13,53.0,/players/pawan-kumar-sehrawat,3,318,/teams/bengaluru-bulls,1
18,19.0,Rakesh Kumar,All Rounder,15,51.0,/players/rakesh-kumar,3,88,/teams/u-mumba,5
19,20.0,PO Surjeet Singh,"Defender, right cover",12,49.0,/players/po-surjeet-singh,3,322,/teams/puneri-paltan,7
20,21.0,Meraj Sheykh,All Rounder,14,48.0,/players/meraj-sheykh,3,251,/teams/telugu-titans,8
21,22.0,Jasmer Singh Gulia,All Rounder,16,46.0,/players/jasmer-singh-gulia,3,51,/teams/puneri-paltan,7
22,22.0,Mohit Chhillar,"Defender, right corner",13,46.0,/players/mohit-chhillar,3,71,/teams/u-mumba,5
23,24.0,Surender Singh,Raider,12,45.0,/players/surender-singh,3,234,/teams/puneri-paltan,7
24,25.0,Surjeet Narwal,Raider,12,43.0,/players/surjeet-narwal,3,118,/teams/bengaluru-bulls,1
25,26.0,Ran Singh,All Rounder,14,41.0,/players/ran-singh,3,160,/teams/jaipur-pink-panthers,3
26,27.0,Selvamani K,Raider,8,39.0,/players/selvamani-k,3,264,/teams/dabang-delhi-kc,2
27,28.0,Bajirao Hodage,"Defender, right cover",16,37.0,/players/bajirao-hodage,3,164,/teams/bengal-warriors,4
28,28.0,Deepak Kumar Dahiya,Raider,10,37.0,/players/deepak-kumar-dahiya,3,174,/teams/bengaluru-bulls,1
29,28.0,Dharmaraj Cheralathan,"Defender, right and left corner",14,37.0,/players/dharmaraj-cheralathan,3,42,/teams/telugu-titans,8
30,31.0,Nilesh Shinde,"Defender, right corner",16,36.0,/players/nilesh-shinde,3,73,/teams/bengal-warriors,4
31,31.0,Amit Om Prakash Rathi,Raider,8,36.0,/players/amit-om-prakash-rathi,3,231,/teams/bengaluru-bulls,1
32,33.0,Mahesh Goud,Raider,13,34.0,/players/mahesh-goud,3,66,/teams/bengal-warriors,4
33,33.0,Girish Maruti Ernak,"Defender, left corner",11,34.0,/players/girish-maruti-ernak,3,161,/teams/bengal-warriors,4
34,33.0,Ravinder Pahal,"Defender, right corner",11,34.0,/players/ravinder-pahal,3,157,/teams/dabang-delhi-kc,2
35,36.0,Shrikant Tewthia,All Rounder,13,33.0,/players/shrikant-tewthia,3,107,/teams/bengaluru-bulls,1
36,36.0,Deepak Narwal,Raider,9,33.0,/players/deepak-narwal,3,211,/teams/patna-pirates,6
37,36.0,Fazel Atrachali,"Defender, left corner",11,33.0,/players/fazel-atrachali,3,259,/teams/u-mumba,5
38,39.0,Sandeep Kumar Dhull,"Defender, left corner",10,32.0,/players/sandeep-kumar-dhull,3,290,/teams/dabang-delhi-kc,2
39,39.0,Ashish Kumar,"Defender, right cover",13,32.0,/players/ashish-kumar,3,202,/teams/bengaluru-bulls,1
40,41.0,Jeeva Kumar,"Defender, right and left cover",16,31.0,/players/jeeva-kumar,3,54,/teams/u-mumba,5
41,42.0,Sunil,"Defender, left corner",15,30.0,/players/sunil,3,207,/teams/patna-pirates,6
42,43.0,Manpreet Singh,Raider,13,29.0,/players/manpreet-singh,3,309,/teams/patna-pirates,6
43,44.0,Rajesh Mondal,Raider,9,28.0,/players/rajesh-mondal,3,85,/teams/patna-pirates,6
44,45.0,Mahendra Ganesh Rajput,Raider,8,26.0,/players/mahendra-ganesh-rajput,3,163,/teams/bengal-warriors,4
45,46.0,Jasvir Singh,Raider,4,25.0,/players/jasvir-singh,3,52,/teams/jaipur-pink-panthers,3
46,47.0,Somvir,"Defender, left cover",14,22.0,/players/somvir,3,314,/teams/bengaluru-bulls,1
47,47.0,Tushar Patil,Raider,13,22.0,/players/tushar-patil,3,242,/teams/puneri-paltan,7
48,49.0,Kuldeep Singh,All Rounder,10,21.0,/players/kuldeep-singh,3,252,/teams/jaipur-pink-panthers,3
49,49.0,Anil Kumar,"Defender, left cover",11,21.0,/players/anil-kumar,3,311,/teams/dabang-delhi-kc,2
50,51.0,Umesh Mhatre,Raider,6,19.0,/players/umesh-mhatre,3,272,/teams/bengal-warriors,4
51,51.0,Anil Shriram Nimbolkar,Raider,6,19.0,/players/anil-shriram-nimbolkar,3,277,/teams/dabang-delhi-kc,2
52,53.0,Hadi Oshtorak,All Rounder,10,18.0,/players/hadi-oshtorak,3,249,/teams/patna-pirates,6
53,53.0,Rohit Rana,"Defender, left cover",12,18.0,/players/rohit-rana,3,96,/teams/jaipur-pink-panthers,3
54,53.0,D. Suresh Kumar,"Defender, right cover",12,18.0,/players/d--suresh-kumar,3,162,/teams/patna-pirates,6
55,53.0,C. Arun,"Defender, left cover",11,18.0,/players/c--arun,3,191,/teams/jaipur-pink-panthers,3
56,57.0,Manoj Kumar,"Defender, left cover",11,17.0,/players/manoj-kumar,3,70,/teams/telugu-titans,8
57,57.0,Deepak Kumar Rathee,All Rounder,14,17.0,/players/deepak-kumar-rathee,3,275,/teams/bengaluru-bulls,1
58,59.0,Vinod Kumar,"Defender, left cover",9,16.0,/players/vinod-kumar,3,215,/teams/patna-pirates,6
59,59.0,Rohit Kumar Choudary,Raider,7,16.0,/players/rohit-kumar-choudary,3,217,/teams/dabang-delhi-kc,2
60,59.0,Vinoth Kumar,Raider,7,16.0,/players/vinoth-kumar,3,172,/teams/bengaluru-bulls,1
61,59.0,Vishal Mane,"Defender, right cover",13,16.0,/players/vishal-mane,3,123,/teams/u-mumba,5
