,rank,name,type,matchs_played,score,profile_name,season,player_id,team_name,team_id
47,45.0,Saurabh Nandal,"Defender, left corner",16,42.0,/players/saurabh-nandal,7,2670,/teams/bengaluru-bulls,1
48,49.0,Joginder Singh Narwal,"Defender, left corner",16,41.0,/players/joginder-singh-narwal,7,194,/teams/dabang-delhi-kc,2
49,49.0,Hadi Oshtorak,All Rounder,17,41.0,/players/hadi-oshtorak,7,249,/teams/patna-pirates,6
50,51.0,Manjeet Chhillar,All Rounder,14,40.0,/players/manjeet-chhillar,7,69,/teams/tamil-thalaivas,29
51,52.0,Sunil,"Defender, right corner",14,39.0,/players/sunil,7,2462,/teams/haryana-steelers,28
52,53.0,Dharmaraj Cheralathan,"Defender, right and left corner",15,38.0,/players/dharmaraj-cheralathan,7,42,/teams/haryana-steelers,28
53,53.0,Prashanth Kumar Rai,Raider,10,38.0,/players/prashanth-kumar-rai,7,155,/teams/haryana-steelers,28
54,53.0,Deepak Narwal,Raider,14,38.0,/players/deepak-narwal,7,211,/teams/jaipur-pink-panthers,3
55,56.0,Jang Kun Lee,Raider,11,36.0,/players/jang-kun-lee,7,12,/teams/patna-pirates,6
56,56.0,Mohit Chhillar,"Defender, right corner",16,36.0,/players/mohit-chhillar,7,71,/teams/tamil-thalaivas,29
57,56.0,Athul MS,Raider,12,36.0,/players/athul-ms,7,376,/teams/u-mumba,5
58,56.0,Monu,Raider,17,36.0,/players/monu,7,795,/teams/patna-pirates,6
59,60.0,Amit Kumar,Raider,12,35.0,/players/amit-kumar,7,2291,/teams/puneri-paltan,7
60,60.0,Mohammad Esmaeil Maghsoudlou Mahalli,Raider,16,35.0,/players/mohammad-esmaeil-maghsoudlou-mahalli,7,571,/teams/patna-pirates,6
61,60.0,Vikas Kale,"Defender, right cover",15,35.0,/players/vikas-kale,7,179,/teams/haryana-steelers,28
62,63.0,Abozar Mohajermighani,Defender,16,34.0,/players/abozar-mohajermighani,7,489,/teams/telugu-titans,8
63,63.0,Sumit Singh,Raider,13,34.0,/players/sumit-singh,7,363,/teams/bengaluru-bulls,1
64,63.0,Parvesh Bhainswal,"Defender, left cover",16,34.0,/players/parvesh-bhainswal,7,357,/teams/gujarat-fortunegiants,31
65,63.0,Amit Sheoran,Defender,17,34.0,/players/amit-sheoran,7,794,/teams/bengaluru-bulls,1
66,67.0,Vijay,All Rounder,15,33.0,/players/vijay,7,745,/teams/dabang-delhi-kc,2
67,68.0,Sonu Jaglan,Raider,11,32.0,/players/sonu-jaglan,7,2485,/teams/gujarat-fortunegiants,31
68,69.0,Ravi Kumar,"Defender, right cover",14,31.0,/players/ravi-kumar,7,240,/teams/haryana-steelers,28
69,69.0,Meraj Sheykh,All Rounder,12,31.0,/players/meraj-sheykh,7,251,/teams/dabang-delhi-kc,2
70,69.0,Ran Singh,All Rounder,16,31.0,/players/ran-singh,7,160,/teams/tamil-thalaivas,29
71,69.0,Amit Hooda,"Defender, right corner",12,31.0,/players/amit-hooda,7,212,/teams/jaipur-pink-panthers,3
72,73.0,Girish Maruti Ernak,"Defender, left corner",13,29.0,/players/girish-maruti-ernak,7,161,/teams/puneri-paltan,7
73,73.0,Shabeer Bappu,Raider,13,29.0,/players/shabeer-bappu,7,105,/teams/tamil-thalaivas,29
74,73.0,Sukesh Hegde,Raider,10,29.0,/players/sukesh-hegde,7,111,/teams/bengal-warriors,4
75,76.0,Jeeva Kumar,"Defender, right and left cover",16,28.0,/players/jeeva-kumar,7,54,/teams/bengal-warriors,4
76,76.0,Nilesh Salunke,Raider,14,28.0,/players/nilesh-salunke,7,293,/teams/jaipur-pink-panthers,3
77,76.0,Rajnish,Raider,8,28.0,/players/rajnish,7,2290,/teams/telugu-titans,8
78,76.0,Ashu Singh,"Defender, right cover",16,28.0,/players/ashu-singh,7,2657,/teams/up-yoddha,30
79,80.0,Jadhav Balasaheb Shahaji,"Defender, right cover",16,27.0,/players/jadhav-balasaheb-shahaji,7,2492,/teams/puneri-paltan,7
80,80.0,Vishal,All Rounder,10,27.0,/players/vishal,7,735,/teams/jaipur-pink-panthers,3
81,82.0,Vikas Jaglan,All Rounder,17,25.0,/players/vikas-jaglan,7,121,/teams/patna-pirates,6
82,82.0,Pawan Kumar Kadian,Raider,6,25.0,/players/pawan-kumar-kadian,7,156,/teams/puneri-paltan,7
83,84.0,Rakesh Gowda,Raider,7,24.0,/players/rakesh-gowda,7,684,/teams/telugu-titans,8
84,85.0,Amit,"Defender, left cover",16,22.0,/players/amit,7,2020,/teams/up-yoddha,30
85,86.0,C. Arun,"Defender, left cover",16,21.0,/players/c--arun,7,191,/teams/telugu-titans,8
86,86.0,Vishal Mane,"Defender, right cover",16,21.0,/players/vishal-mane,7,123,/teams/dabang-delhi-kc,2
87,88.0,Ajinkya Ashok Pawar,Raider,13,19.0,/players/ajinkya-ashok-pawar,7,2475,/teams/jaipur-pink-panthers,3
88,89.0,Shubham Shinde,"Defender, right corner",13,18.0,/players/shubham-shinde,7,2479,/teams/puneri-paltan,7
89,90.0,Sushil Gulia,Raider,6,17.0,/players/sushil-gulia,7,2498,/teams/jaipur-pink-panthers,3
90,90.0,Mohit Sehrawat,"Defender, right cover",11,17.0,/players/mohit-sehrawat,7,2502,/teams/bengaluru-bulls,1
91,90.0,Hadi Tajik,"Defender, right corner",11,17.0,/players/hadi-tajik,7,301,/teams/puneri-paltan,7
92,93.0,Anil Kumar,"Defender, left cover",12,16.0,/players/anil-kumar,7,311,/teams/dabang-delhi-kc,2
93,94.0,Sumit Malik,"Defender, left corner",14,15.0,/players/sumit-malik,7,2672,/teams/gujarat-fortunegiants,31
94,95.0,Ajeet,"Defender, right cover",14,14.0,/players/ajeet,7,2512,/teams/tamil-thalaivas,29
95,95.0,Harendra Kumar,"Defender, left cover",14,14.0,/players/harendra-kumar,7,2486,/teams/u-mumba,5
96,97.0,Sagar B Krishna,All Rounder,10,13.0,/players/sagar-b-krishna,7,347,/teams/puneri-paltan,7
97,97.0,Vineet Sharma,Raider,9,13.0,/players/vineet-sharma,7,268,/teams/tamil-thalaivas,29
98,97.0,Amit Kumar,Raider,9,13.0,/players/amit-kumar,7,214,/teams/telugu-titans,8
99,97.0,Ankit,"Defender, right corner",12,13.0,/players/ankit,7,2667,/teams/gujarat-fortunegiants,31
100,97.0,Amit Kumar,All Rounder,5,13.0,/players/amit-kumar,7,2682,/teams/puneri-paltan,7
101,102.0,Selvamani K,Raider,6,12.0,/players/selvamani-k,7,264,/teams/haryana-steelers,28
102,102.0,Sachin Narwal,All Rounder,10,12.0,/players/sachin-narwal,7,2494,/teams/jaipur-pink-panthers,3
103,102.0,Pankaj,All Rounder,5,12.0,/players/pankaj,7,665,/teams/gujarat-fortunegiants,31
104,105.0,Pavan T. R.,"Defender, right cover",12,11.0,/players/pavan-t--r-,7,2496,/teams/jaipur-pink-panthers,3
105,105.0,Banty,Raider,9,11.0,/players/banty,7,2503,/teams/bengaluru-bulls,1
106,105.0,Surender Singh,Raider,4,11.0,/players/surender-singh,7,234,/teams/up-yoddha,30
107,108.0,Dong Geon Lee,Raider,4,10.0,/players/dong-geon-lee,7,522,/teams/u-mumba,5
108,109.0,Sunil Siddhgavali,Defender,11,9.0,/players/sunil-siddhgavali,7,613,/teams/jaipur-pink-panthers,3
109,109.0,Armaan,All Rounder,6,9.0,/players/armaan,7,2298,/teams/telugu-titans,8
110,109.0,Sagar,"Defender, right corner",9,9.0,/players/sagar,7,2659,/teams/tamil-thalaivas,29
111,112.0,Sushant Sail,Raider,7,8.0,/players/sushant-sail,7,2660,/teams/puneri-paltan,7
112,112.0,Victor Onyango Obiero,All Rounder,3,8.0,/players/victor-onyango-obiero,7,2257,/teams/tamil-thalaivas,29
113,112.0,Ankit Beniwal,Raider,5,8.0,/players/ankit-beniwal,7,2322,/teams/telugu-titans,8
114,112.0,Saeid Ghaffari,"Defender, left cover",9,8.0,/players/saeid-ghaffari,7,481,/teams/dabang-delhi-kc,2
115,116.0,Mohsen Maghsoudloujafari,All Rounder,10,7.0,/players/mohsen-maghsoudloujafari,7,567,/teams/up-yoddha,30
116,116.0,Ankush,Raider,3,7.0,/players/ankush,7,2321,/teams/up-yoddha,30
117,116.0,Ruturaj Shivaji Koravi,Defender,11,7.0,/players/ruturaj-shivaji-koravi,7,2023,/teams/gujarat-fortunegiants,31
118,116.0,Santhapanaselvam,All Rounder,4,7.0,/players/santhapanaselvam,7,676,/teams/jaipur-pink-panthers,3
119,116.0,Vinod Kumar,All Rounder,6,7.0,/players/vinod-kumar,7,764,/teams/gujarat-fortunegiants,31
120,116.0,Sanket Sawant,"Defender, left cover",5,7.0,/players/sanket-sawant,7,2662,/teams/puneri-paltan,7
121,122.0,Chand Singh,"Defender, left corner",6,6.0,/players/chand-singh,7,2514,/teams/haryana-steelers,28
122,122.0,Kuldeep Singh,Defender,8,6.0,/players/kuldeep-singh,7,732,/teams/haryana-steelers,28
123,122.0,Young Chang Ko,"Defender, left cover",9,6.0,/players/young-chang-ko,7,519,/teams/u-mumba,5
124,122.0,Viraj Vishnu Landge,"Defender, left cover",7,6.0,/players/viraj-vishnu-landge,7,784,/teams/bengal-warriors,4
125,122.0,Anand,Raider,4,6.0,/players/anand,7,2325,/teams/tamil-thalaivas,29
126,127.0,Azad Singh,Raider,3,5.0,/players/azad-singh,7,2316,/teams/up-yoddha,30
127,127.0,Ankit,Defender,5,5.0,/players/ankit,7,2471,/teams/bengaluru-bulls,1
128,127.0,Ashish,Raider,7,5.0,/players/ashish,7,2504,/teams/patna-pirates,6
129,127.0,Lalit Chaudhary,Raider,4,5.0,/players/lalit-chaudhary,7,2306,/teams/gujarat-fortunegiants,31
130,127.0,Vijay Kumar,"Defender, right corner",9,5.0,/players/vijay-kumar,7,768,/teams/bengaluru-bulls,1
131,127.0,Abolfazl Maghsodloumahali,Raider,6,5.0,/players/abolfazl-maghsodloumahali,7,300,/teams/gujarat-fortunegiants,31
132,127.0,Ashish Kumar,All Rounder,6,5.0,/players/ashish-kumar,7,202,/teams/bengaluru-bulls,1
133,127.0,Amit Kumar,All Rounder,3,5.0,/players/amit-kumar,7,2507,/teams/patna-pirates,6
134,135.0,Elavarasan A,"Defender, left cover",3,4.0,/players/elavarasan-a,7,2665,/teams/jaipur-pink-panthers,3
135,135.0,Harmanjit Singh,Raider,3,4.0,/players/harmanjit-singh,7,2666,/teams/gujarat-fortunegiants,31
136,135.0,Sachin Kumar,All Rounder,12,4.0,/players/sachin-kumar,7,218,/teams/up-yoddha,30
137,135.0,Gurvinder Singh,Raider,2,4.0,/players/gurvinder-singh,7,46,/teams/gujarat-fortunegiants,31
138,135.0,Krushna Madane,Defender,7,4.0,/players/krushna-madane,7,274,/teams/telugu-titans,8
139,135.0,Darshan Kadian,Raider,5,4.0,/players/darshan-kadian,7,324,/teams/puneri-paltan,7
140,135.0,Mayur Shivtarkar,All Rounder,6,4.0,/players/mayur-shivtarkar,7,578,/teams/bengal-warriors,4
141,135.0,Jawahar Dagar,Defender,5,4.0,/players/jawahar-dagar,7,390,/teams/patna-pirates,6
142,135.0,Purna Singh,Raider,5,4.0,/players/purna-singh,7,2478,/teams/patna-pirates,6
143,135.0,Parveen,"Defender, left cover",6,4.0,/players/parveen,7,2463,/teams/haryana-steelers,28
144,145.0,Adarsh T,"Defender, left corner",9,3.0,/players/adarsh-t,7,2470,/teams/bengal-warriors,4
145,145.0,M. Abishek,"Defender, right cover",4,3.0,/players/m--abishek,7,2506,/teams/tamil-thalaivas,29
146,145.0,Rakesh Narwal,Raider,1,3.0,/players/rakesh-narwal,7,204,/teams/bengal-warriors,4
147,145.0,Ravinder,All Rounder,4,3.0,/players/ravinder,7,2644,/teams/patna-pirates,6
148,149.0,Balram,All Rounder,1,2.0,/players/balram,7,2669,/teams/dabang-delhi-kc,2
149,149.0,Palle Mallikarjun,Raider,3,2.0,/players/palle-mallikarjun,7,2683,/teams/telugu-titans,8
150,149.0,Rajaguru Subramanian,"Defender, right cover",4,2.0,/players/rajaguru-subramanian,7,84,/teams/u-mumba,5
151,149.0,Ponparthiban Subramanian,"Defender, right cover",5,2.0,/players/ponparthiban-subramanian,7,2481,/teams/tamil-thalaivas,29
152,149.0,Aman Kadian,Raider,2,2.0,/players/aman-kadian,7,2474,/teams/dabang-delhi-kc,2
153,149.0,Ajay,Defender,7,2.0,/players/ajay,7,2353,/teams/bengaluru-bulls,1
154,149.0,Arun Kumar HN,Raider,2,2.0,/players/arun-kumar-hn,7,2318,/teams/haryana-steelers,28
155,149.0,Kamal Singh,Raider,3,2.0,/players/kamal-singh,7,2307,/teams/telugu-titans,8
156,157.0,Ajinkya Rohidas Kapre,All Rounder,2,1.0,/players/ajinkya-rohidas-kapre,7,2025,/teams/u-mumba,5
157,157.0,Emad Sedaghatnia,Raider,1,1.0,/players/emad-sedaghatnia,7,2376,/teams/puneri-paltan,7
158,157.0,Satywan,"Defender, left cover",1,1.0,/players/satywan,7,2489,/teams/dabang-delhi-kc,2
159,157.0,Aman,"Defender, left corner",2,1.0,/players/aman,7,2501,/teams/bengaluru-bulls,1
160,157.0,Mohammad Taghi Paein Mahali,Raider,3,1.0,/players/mohammad-taghi-paein-mahali,7,509,/teams/bengal-warriors,4
161,157.0,Naveen Narwal,"Defender, right cover",3,1.0,/players/naveen-narwal,7,2671,/teams/bengal-warriors,4
162,157.0,Vikas Chhillar,Raider,1,1.0,/players/vikas-chhillar,7,2515,/teams/haryana-steelers,28
163,164.0,Rohit Kumar Choudary,Raider,6,3.0,/players/rohit-kumar-choudary,7,217,/teams/up-yoddha,30
164,164.0,Anand V,Raider,3,3.0,/players/anand-v,7,2021,/teams/bengaluru-bulls,1
165,164.0,Vijay Kumar,"Defender, right corner",4,3.0,/players/vijay-kumar,7,768,/teams/patna-pirates,6
166,164.0,Md. Masud Karim,Raider,3,3.0,/players/md--masud-karim,7,2262,/teams/up-yoddha,30
167,164.0,Mithin Kumar,Raider,3,3.0,/players/mithin-kumar,7,2302,/teams/bengal-warriors,4
168,164.0,Ankit,Defender,6,3.0,/players/ankit,7,2471,/teams/bengaluru-bulls,1
169,170.0,Vimal Raj V,All Rounder,5,2.0,/players/vimal-raj-v,7,2335,/teams/tamil-thalaivas,29
170,170.0,Gaurav Kumar,Raider,3,2.0,/players/gaurav-kumar,7,2313,/teams/u-mumba,5
171,170.0,Amit Kharb,"Defender, right cover",6,2.0,/players/amit-kharb,7,793,/teams/gujarat-fortunegiants,31
172,170.0,Vishav Chaudhary,"Defender, left cover",2,2.0,/players/vishav-chaudhary,7,698,/teams/up-yoddha,30
173,170.0,N. Shiva Ramakrishna,All Rounder,1,2.0,/players/n--shiva-ramakrishna,7,708,/teams/jaipur-pink-panthers,3
174,170.0,Shubham Ashok Palkar,Raider,4,2.0,/players/shubham-ashok-palkar,7,605,/teams/gujarat-fortunegiants,31
175,170.0,Wazir Singh,Raider,2,2.0,/players/wazir-singh,7,124,/teams/haryana-steelers,28
176,177.0,Tae Deok Eom,All Rounder,11,1.0,/players/tae-deok-eom,7,14,/teams/patna-pirates,6
177,177.0,Nithesh B R,"Defender, right corner",2,1.0,/players/nithesh-b-r,7,74,/teams/bengaluru-bulls,1
178,177.0,Bajirao Hodage,"Defender, right cover",6,1.0,/players/bajirao-hodage,7,164,/teams/jaipur-pink-panthers,3
179,177.0,Sombir,Defender,4,1.0,/players/sombir,7,361,/teams/telugu-titans,8
180,177.0,E Subash,All Rounder,2,1.0,/players/e-subash,7,690,/teams/u-mumba,5
181,177.0,Tapas Pal,All Rounder,2,1.0,/players/tapas-pal,7,661,/teams/dabang-delhi-kc,2
182,177.0,Pankaj,All Rounder,1,1.0,/players/pankaj,7,665,/teams/up-yoddha,30
183,177.0,Arun Kumar HN,Raider,2,1.0,/players/arun-kumar-hn,7,2318,/teams/haryana-steelers,28
184,177.0,Vikram Kandola,"Defender, left cover",1,1.0,/players/vikram-kandola,7,2351,/teams/gujarat-fortunegiants,31
185,177.0,Aashish Nagar,"Defender, right corner",3,1.0,/players/aashish-nagar,7,2482,/teams/up-yoddha,30
0,1.0,Rahul Chaudhari,Raider,16,150.0,/players/rahul-chaudhari,4,81,/teams/telugu-titans,8
1,2.0,Pardeep Narwal,Raider,16,133.0,/players/pardeep-narwal,4,197,/teams/patna-pirates,6
2,3.0,Deepak Niwas Hooda,All Rounder,16,130.0,/players/deepak-niwas-hooda,4,41,/teams/puneri-paltan,7
3,4.0,Rohit Kumar,Raider,14,100.0,/players/rohit-kumar,4,326,/teams/bengaluru-bulls,1
4,5.0,Kashiling Adake,Raider,13,89.0,/players/kashiling-adake,4,58,/teams/dabang-delhi-kc,2
5,6.0,Jasvir Singh,Raider,14,88.0,/players/jasvir-singh,4,52,/teams/jaipur-pink-panthers,3
6,7.0,Rajesh Narwal,All Rounder,16,85.0,/players/rajesh-narwal,4,86,/teams/jaipur-pink-panthers,3
7,8.0,Anup Kumar,Raider,14,82.0,/players/anup-kumar,4,29,/teams/u-mumba,5
8,9.0,Meraj Sheykh,All Rounder,14,75.0,/players/meraj-sheykh,4,251,/teams/dabang-delhi-kc,2
9,10.0,Rakesh Kumar,All Rounder,14,70.0,/players/rakesh-kumar,4,88,/teams/u-mumba,5
10,10.0,Rishank Devadiga,Raider,14,70.0,/players/rishank-devadiga,4,94,/teams/u-mumba,5
11,12.0,Manjeet Chhillar,All Rounder,12,68.0,/players/manjeet-chhillar,4,69,/teams/puneri-paltan,7
12,13.0,Sandeep Narwal,All Rounder,16,66.0,/players/sandeep-narwal,4,142,/teams/telugu-titans,8
13,14.0,Jang Kun Lee,Raider,11,65.0,/players/jang-kun-lee,4,12,/teams/bengal-warriors,4
14,15.0,Ajay Thakur,Raider,16,64.0,/players/ajay-thakur,4,26,/teams/puneri-paltan,7
15,16.0,Monu Goyat,Raider,13,63.0,/players/monu-goyat,4,388,/teams/bengal-warriors,4
16,17.0,Nilesh Salunke,Raider,15,62.0,/players/nilesh-salunke,4,293,/teams/telugu-titans,8
17,18.0,Ajay Kumar,Raider,15,61.0,/players/ajay-kumar,4,389,/teams/jaipur-pink-panthers,3
18,19.0,Rajesh Mondal,Raider,15,59.0,/players/rajesh-mondal,4,85,/teams/patna-pirates,6
19,20.0,Nitin Madane,Raider,13,53.0,/players/nitin-madane,4,75,/teams/bengal-warriors,4
20,20.0,Amit Hooda,"Defender, right corner",16,53.0,/players/amit-hooda,4,212,/teams/jaipur-pink-panthers,3
21,22.0,Fazel Atrachali,"Defender, left corner",16,52.0,/players/fazel-atrachali,4,259,/teams/patna-pirates,6
22,23.0,Mohit Chhillar,"Defender, right corner",14,50.0,/players/mohit-chhillar,4,71,/teams/bengaluru-bulls,1
23,24.0,Selvamani K,Raider,13,45.0,/players/selvamani-k,4,264,/teams/dabang-delhi-kc,2
24,25.0,Sachin Shingade,"Defender, left cover",14,44.0,/players/sachin-shingade,4,165,/teams/dabang-delhi-kc,2
25,26.0,Kuldeep Singh,All Rounder,15,42.0,/players/kuldeep-singh,4,252,/teams/patna-pirates,6
26,27.0,Dharmaraj Cheralathan,"Defender, right and left corner",14,41.0,/players/dharmaraj-cheralathan,4,42,/teams/patna-pirates,6
27,28.0,Joginder Singh Narwal,"Defender, left corner",16,38.0,/players/joginder-singh-narwal,4,194,/teams/puneri-paltan,7
28,29.0,Ravinder Pahal,"Defender, right corner",14,37.0,/players/ravinder-pahal,4,157,/teams/puneri-paltan,7
29,29.0,Ashish Kumar,"Defender, right cover",14,37.0,/players/ashish-kumar,4,202,/teams/bengaluru-bulls,1
30,29.0,Surender Nada,"Defender, left corner",13,37.0,/players/surender-nada,4,146,/teams/bengaluru-bulls,1
31,29.0,CPO Surjeet Singh,Raider,10,37.0,/players/cpo-surjeet-singh,4,119,/teams/patna-pirates,6
32,29.0,PO Surjeet Singh,"Defender, right cover",14,37.0,/players/po-surjeet-singh,4,322,/teams/u-mumba,5
33,34.0,Sandeep Kumar Dhull,"Defender, left corner",12,35.0,/players/sandeep-kumar-dhull,4,290,/teams/telugu-titans,8
34,34.0,Shabeer Bappu,Raider,12,35.0,/players/shabeer-bappu,4,105,/teams/jaipur-pink-panthers,3
35,36.0,Nitin Tomar,Raider,12,34.0,/players/nitin-tomar,4,320,/teams/puneri-paltan,7
36,37.0,Ran Singh,All Rounder,16,33.0,/players/ran-singh,4,160,/teams/jaipur-pink-panthers,3
37,38.0,Sonu Narwal,Raider,11,32.0,/players/sonu-narwal,4,190,/teams/puneri-paltan,7
38,39.0,Vishal Mane,"Defender, right cover",14,31.0,/players/vishal-mane,4,123,/teams/bengal-warriors,4
39,40.0,Vinod Kumar,"Defender, left cover",12,30.0,/players/vinod-kumar,4,215,/teams/telugu-titans,8
40,41.0,Nilesh Shinde,"Defender, right corner",12,28.0,/players/nilesh-shinde,4,73,/teams/bengal-warriors,4
41,42.0,Jeeva Kumar,"Defender, right and left cover",14,26.0,/players/jeeva-kumar,4,54,/teams/u-mumba,5
42,43.0,Girish Maruti Ernak,"Defender, left corner",12,25.0,/players/girish-maruti-ernak,4,161,/teams/bengal-warriors,4
43,43.0,Abolfazl Maghsodloumahali,Raider,9,25.0,/players/abolfazl-maghsodloumahali,4,300,/teams/patna-pirates,6
44,45.0,Suresu Kumar,Raider,11,23.0,/players/suresu-kumar,4,173,/teams/u-mumba,5
45,46.0,Bajirao Hodage,"Defender, right cover",14,22.0,/players/bajirao-hodage,4,164,/teams/patna-pirates,6
46,46.0,Mahipal Narwal,All Rounder,14,22.0,/players/mahipal-narwal,4,67,/teams/jaipur-pink-panthers,3
47,46.0,Somvir Shekhar,"Defender, right cover",16,22.0,/players/somvir-shekhar,4,109,/teams/puneri-paltan,7
48,49.0,Pawan Kumar Kadian,Raider,9,21.0,/players/pawan-kumar-kadian,4,156,/teams/bengaluru-bulls,1
49,50.0,Vinod Kumar,Raider,9,20.0,/players/vinod-kumar,4,387,/teams/bengaluru-bulls,1
50,51.0,Prashanth Kumar Rai,Raider,9,19.0,/players/prashanth-kumar-rai,4,155,/teams/dabang-delhi-kc,2
51,51.0,D. Suresh Kumar,"Defender, right cover",14,19.0,/players/d--suresh-kumar,4,162,/teams/dabang-delhi-kc,2
52,51.0,Jasmer Singh Gulia,All Rounder,13,19.0,/players/jasmer-singh-gulia,4,51,/teams/telugu-titans,8
53,54.0,Sunil,"Defender, left corner",10,17.0,/players/sunil,4,207,/teams/u-mumba,5
54,55.0,Yogesh Hooda,Raider,5,16.0,/players/yogesh-hooda,4,245,/teams/bengaluru-bulls,1
55,55.0,S Mahalingam,All Rounder,11,16.0,/players/s-mahalingam,4,391,/teams/telugu-titans,8
56,55.0,Anil Kumar,"Defender, left corner",9,16.0,/players/anil-kumar,4,386,/teams/dabang-delhi-kc,2
57,58.0,Tushar Patil,Raider,8,15.0,/players/tushar-patil,4,242,/teams/jaipur-pink-panthers,3
58,58.0,C. Arun,"Defender, left cover",14,15.0,/players/c--arun,4,191,/teams/bengal-warriors,4
59,60.0,Deepak Kumar Dahiya,Raider,7,13.0,/players/deepak-kumar-dahiya,4,174,/teams/bengaluru-bulls,1
60,60.0,Hadi Oshtorak,All Rounder,7,13.0,/players/hadi-oshtorak,4,249,/teams/patna-pirates,6
61,60.0,Deepak Narwal,Raider,6,13.0,/players/deepak-narwal,4,211,/teams/dabang-delhi-kc,2
62,60.0,Amit Singh Chhillar,"Defender, left corner",9,13.0,/players/amit-singh-chhillar,4,28,/teams/bengal-warriors,4
63,60.0,Ravi Dalal,Raider,6,13.0,/players/ravi-dalal,4,92,/teams/bengal-warriors,4
64,65.0,K. Prapanjan,Raider,11,12.0,/players/k--prapanjan,4,219,/teams/telugu-titans,8
65,66.0,Surender Singh,Raider,11,11.0,/players/surender-singh,4,234,/teams/u-mumba,5
66,66.0,Surjeet Narwal,Raider,5,11.0,/players/surjeet-narwal,4,118,/teams/bengal-warriors,4
67,66.0,Pawan Kumar Sehrawat,Raider,10,11.0,/players/pawan-kumar-sehrawat,4,318,/teams/bengaluru-bulls,1
68,66.0,Sanket Chavan,"Defender, left corner",6,11.0,/players/sanket-chavan,4,360,/teams/dabang-delhi-kc,2
69,70.0,Prashant Chavan,"Defender, right corner",9,10.0,/players/prashant-chavan,4,147,/teams/dabang-delhi-kc,2
70,71.0,Parmod Narwal,All Rounder,8,9.0,/players/parmod-narwal,4,150,/teams/puneri-paltan,7
71,71.0,Sumit Singh,Raider,5,9.0,/players/sumit-singh,4,363,/teams/bengaluru-bulls,1
72,73.0,Athul MS,Raider,4,8.0,/players/athul-ms,4,376,/teams/telugu-titans,8
73,73.0,Vinoth Kumar,Raider,3,8.0,/players/vinoth-kumar,4,172,/teams/telugu-titans,8
74,73.0,Umesh Mhatre,Raider,2,8.0,/players/umesh-mhatre,4,272,/teams/dabang-delhi-kc,2
75,76.0,D. Gopu,"Defender, right and left corner",5,7.0,/players/d--gopu,4,152,/teams/dabang-delhi-kc,2
76,76.0,Sukesh Hegde,Raider,9,7.0,/players/sukesh-hegde,4,111,/teams/telugu-titans,8
77,76.0,Shrikant Jadhav,Raider,5,7.0,/players/shrikant-jadhav,4,106,/teams/bengal-warriors,4
78,76.0,Vishal Bhardwaj,All Rounder,2,7.0,/players/vishal-bhardwaj,4,358,/teams/telugu-titans,8
79,80.0,Vikash Kumar,Raider,6,6.0,/players/vikash-kumar,4,380,/teams/u-mumba,5
80,80.0,Sagar B Krishna,All Rounder,11,6.0,/players/sagar-b-krishna,4,347,/teams/telugu-titans,8
81,82.0,Mahesh Goud,Raider,7,5.0,/players/mahesh-goud,4,66,/teams/patna-pirates,6
82,83.0,Manoj Kumar,"Defender, left cover",8,4.0,/players/manoj-kumar,4,70,/teams/bengaluru-bulls,1
83,83.0,Gurvinder Singh,Raider,6,4.0,/players/gurvinder-singh,4,46,/teams/u-mumba,5
84,83.0,Amit Om Prakash Rathi,Raider,2,4.0,/players/amit-om-prakash-rathi,4,231,/teams/bengaluru-bulls,1
85,86.0,Rohit Rana,"Defender, left cover",5,3.0,/players/rohit-rana,4,96,/teams/jaipur-pink-panthers,3
86,86.0,Rupesh Tomar,All Rounder,3,3.0,/players/rupesh-tomar,4,97,/teams/telugu-titans,8
87,86.0,Parvesh Bhainswal,"Defender, left cover",7,3.0,/players/parvesh-bhainswal,4,357,/teams/jaipur-pink-panthers,3
88,86.0,Vikash Khandola,Raider,4,3.0,/players/vikash-khandola,4,366,/teams/dabang-delhi-kc,2
89,86.0,Ravindra Ramesh Kumawat,All Rounder,2,3.0,/players/ravindra-ramesh-kumawat,4,370,/teams/bengal-warriors,4
90,91.0,Amit Nagar,Raider,3,2.0,/players/amit-nagar,4,371,/teams/jaipur-pink-panthers,3
91,91.0,Jawahar Dagar,Raider,6,2.0,/players/jawahar-dagar,4,390,/teams/jaipur-pink-panthers,3
92,91.0,Anil Kumar,"Defender, left cover",4,2.0,/players/anil-kumar,4,311,/teams/patna-pirates,6
93,91.0,Shrikant Tewthia,All Rounder,4,2.0,/players/shrikant-tewthia,4,107,/teams/jaipur-pink-panthers,3
94,91.0,Rahul Kumar,"Defender, right cover",9,2.0,/players/rahul-kumar,4,288,/teams/bengaluru-bulls,1
95,91.0,Vijin Thangadurai,"Defender, right cover",9,2.0,/players/vijin-thangadurai,4,185,/teams/patna-pirates,6
96,91.0,Preetam Chhillar,All Rounder,8,2.0,/players/preetam-chhillar,4,167,/teams/puneri-paltan,7
97,98.0,Manoj Dhull,"Defender, right corner",2,1.0,/players/manoj-dhull,4,233,/teams/u-mumba,5
98,98.0,Sunny,Raider,3,1.0,/players/sunny,4,210,/teams/patna-pirates,6
99,98.0,Hadi Tajik,"Defender, right corner",1,1.0,/players/hadi-tajik,4,301,/teams/dabang-delhi-kc,2
100,98.0,Nitin Kumar,All Rounder,1,1.0,/players/nitin-kumar,4,367,/teams/u-mumba,5
