,player_id,name,type,team_id,team_name,rank,index,matches played,total points earned,Most points in a match,not out percent,total raids,Successful Raids percent,No of Super Raids,Super 10s,Total Raid Points,Average Raid Points per Match,No of super tackles,high 5s,Total tackle points,average tackle per match,Total tackles,Tackle Strike Rate
25,366,Vikash Kandola,Raider,28,/teams/haryana-steelers,6.0,Overall,48.0,367.0,15.0,78.55,760.0,47.1,11.0,13.0,358.0,7.45,0.0,0.0,9.0,0.18,33.0,27.27
26,366,Vikash Kandola,Raider,28,/teams/haryana-steelers,6.0,Season 7,13.0,129.0,13.0,80.76,260.0,48.07,5.0,7.0,125.0,9.61,0.0,0.0,4.0,0.3,9.0,44.44
27,366,Vikash Kandola,Raider,28,/teams/haryana-steelers,6.0,Season 6,22.0,177.0,15.0,77.23,347.0,49.56,5.0,6.0,172.0,7.81,0.0,0.0,5.0,0.22,18.0,27.77
28,366,Vikash Kandola,Raider,28,/teams/haryana-steelers,6.0,Season 5,9.0,58.0,9.0,78.67,136.0,42.64,1.0,0.0,58.0,6.44,0.0,0.0,0.0,0.0,4.0,0.0
29,366,Vikash Kandola,Raider,28,/teams/haryana-steelers,6.0,Season 4,4.0,3.0,3.0,70.58,17.0,17.64,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0
30,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Overall,120.0,909.0,20.0,81.26,1708.0,48.24,20.0,29.0,824.0,6.86,8.0,4.0,85.0,0.64,229.0,37.11
31,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 7,17.0,124.0,14.0,81.37,247.0,46.15,2.0,5.0,114.0,6.7,2.0,0.0,10.0,0.47,25.0,40.0
32,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 6,22.0,208.0,20.0,80.32,366.0,53.55,4.0,10.0,196.0,8.9,1.0,1.0,12.0,0.5,38.0,31.57
33,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 5,24.0,186.0,17.0,78.88,360.0,47.77,8.0,7.0,172.0,7.16,1.0,0.0,14.0,0.54,34.0,41.17
34,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 4,16.0,130.0,17.0,85.92,277.0,45.48,2.0,2.0,126.0,7.87,0.0,0.0,4.0,0.25,28.0,14.28
35,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 3,12.0,76.0,13.0,82.16,157.0,43.94,0.0,1.0,69.0,5.75,0.0,0.0,7.0,0.58,21.0,33.33
36,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 2,15.0,96.0,14.0,82.35,153.0,39.21,1.0,1.0,60.0,4.0,4.0,3.0,36.0,2.13,61.0,59.01
37,41,Deepak Niwas Hooda,All Rounder,3,/teams/jaipur-pink-panthers,7.0,Season 1,14.0,89.0,18.0,78.37,148.0,58.78,3.0,3.0,87.0,6.21,0.0,0.0,2.0,0.14,22.0,9.09
38,763,Manjeet,Raider,7,/teams/puneri-paltan,8.0,Overall,40.0,220.0,16.0,74.51,412.0,43.44,5.0,4.0,179.0,4.47,2.0,0.0,41.0,0.97,90.0,45.55
39,763,Manjeet,Raider,7,/teams/puneri-paltan,8.0,Season 7,18.0,118.0,16.0,76.23,223.0,41.25,2.0,2.0,92.0,5.11,1.0,0.0,26.0,1.38,52.0,50.0
40,763,Manjeet,Raider,7,/teams/puneri-paltan,8.0,Season 6,22.0,102.0,10.0,72.48,189.0,46.03,3.0,2.0,87.0,3.95,1.0,0.0,15.0,0.63,38.0,39.47
41,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Overall,118.0,996.0,23.0,80.02,1977.0,47.44,24.0,40.0,938.0,7.94,5.0,0.0,58.0,0.44,183.0,31.69
42,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 7,18.0,120.0,14.0,73.25,258.0,43.79,0.0,4.0,113.0,6.27,0.0,0.0,7.0,0.38,26.0,26.92
43,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 6,21.0,166.0,18.0,75.14,350.0,45.42,4.0,4.0,159.0,7.57,1.0,0.0,7.0,0.28,19.0,36.84
44,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 5,22.0,193.0,17.0,81.06,412.0,44.66,5.0,8.0,184.0,8.36,0.0,0.0,9.0,0.4,33.0,27.27
45,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 4,16.0,150.0,18.0,86.15,325.0,44.92,6.0,7.0,146.0,9.12,1.0,0.0,4.0,0.18,11.0,36.36
46,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 3,13.0,99.0,17.0,79.8,208.0,41.82,1.0,4.0,87.0,6.69,2.0,0.0,12.0,0.76,29.0,41.37
47,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 2,14.0,107.0,14.0,83.06,183.0,53.55,6.0,5.0,98.0,7.0,0.0,0.0,9.0,0.64,34.0,26.47
48,81,Rahul Chaudhari,Raider,29,/teams/tamil-thalaivas,9.0,Season 1,14.0,161.0,23.0,82.15,241.0,62.65,2.0,8.0,151.0,10.78,1.0,0.0,10.0,0.64,31.0,32.25
49,2661,Pankaj Mohite,Raider,7,/teams/puneri-paltan,10.0,Overall,15.0,99.0,17.0,76.88,186.0,52.68,4.0,2.0,98.0,6.53,0.0,0.0,1.0,0.06,12.0,8.33
50,2661,Pankaj Mohite,Raider,7,/teams/puneri-paltan,10.0,Season 7,15.0,99.0,17.0,76.88,186.0,52.68,4.0,2.0,98.0,6.53,0.0,0.0,1.0,0.06,12.0,8.33
51,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Overall,71.0,367.0,17.0,72.64,775.0,44.77,8.0,9.0,347.0,4.88,3.0,0.0,20.0,0.23,45.0,44.44
52,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Season 7,17.0,106.0,15.0,77.02,222.0,46.39,2.0,2.0,103.0,6.05,0.0,0.0,3.0,0.17,8.0,37.5
53,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Season 6,25.0,146.0,17.0,70.48,332.0,42.46,4.0,5.0,141.0,5.64,1.0,0.0,5.0,0.16,11.0,45.45
54,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Season 5,19.0,98.0,13.0,74.7,170.0,50.58,2.0,2.0,86.0,4.52,2.0,0.0,12.0,0.52,22.0,54.54
55,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Season 4,5.0,7.0,5.0,68.75,16.0,43.75,0.0,0.0,7.0,1.4,0.0,0.0,0.0,0.0,3.0,0.0
56,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Season 3,5.0,10.0,7.0,57.14,35.0,28.57,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
57,106,Shrikant Jadhav,Raider,30,/teams/up-yoddha,11.0,Season 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Overall,80.0,364.0,12.0,77.05,815.0,43.92,6.0,10.0,358.0,4.47,0.0,0.0,6.0,0.07,49.0,12.24
59,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Season 7,17.0,96.0,12.0,79.16,192.0,48.95,3.0,3.0,94.0,5.52,0.0,0.0,2.0,0.11,13.0,15.38
60,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Season 6,22.0,123.0,12.0,78.03,255.0,47.84,1.0,4.0,122.0,5.54,0.0,0.0,1.0,0.04,11.0,9.09
61,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Season 5,22.0,124.0,11.0,77.45,306.0,40.19,2.0,3.0,123.0,5.59,0.0,0.0,1.0,0.04,17.0,5.88
62,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Season 4,11.0,12.0,3.0,69.04,42.0,28.57,0.0,0.0,12.0,1.09,0.0,0.0,0.0,0.0,1.0,0.0
63,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Season 3,4.0,2.0,1.0,16.66,6.0,33.33,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0
64,219,K. Prapanjan,Raider,4,/teams/bengal-warriors,12.0,Season 2,4.0,7.0,3.0,71.42,14.0,35.71,0.0,0.0,5.0,1.25,0.0,0.0,2.0,0.5,5.0,40.0
65,686,Rohit Gulia,All Rounder,31,/teams/gujarat-fortunegiants,13.0,Overall,55.0,195.0,13.0,76.28,544.0,34.0,2.0,3.0,185.0,3.36,0.0,0.0,10.0,0.18,54.0,18.51
66,686,Rohit Gulia,All Rounder,31,/teams/gujarat-fortunegiants,13.0,Season 7,17.0,96.0,13.0,74.13,232.0,39.65,0.0,3.0,92.0,5.41,0.0,0.0,4.0,0.23,15.0,26.66
67,686,Rohit Gulia,All Rounder,31,/teams/gujarat-fortunegiants,13.0,Season 6,19.0,61.0,9.0,77.63,152.0,38.15,2.0,0.0,58.0,3.05,0.0,0.0,3.0,0.15,19.0,15.78
68,686,Rohit Gulia,All Rounder,31,/teams/gujarat-fortunegiants,13.0,Season 5,19.0,38.0,9.0,78.12,160.0,21.87,0.0,0.0,35.0,1.84,0.0,0.0,3.0,0.15,20.0,15.0
69,326,Rohit Kumar,Raider,1,/teams/bengaluru-bulls,14.0,Overall,89.0,703.0,32.0,79.08,1401.0,47.39,15.0,26.0,664.0,7.46,2.0,1.0,39.0,0.41,104.0,37.5
70,326,Rohit Kumar,Raider,1,/teams/bengaluru-bulls,14.0,Season 7,17.0,92.0,14.0,70.86,230.0,38.26,2.0,3.0,88.0,5.17,0.0,0.0,4.0,0.23,17.0,23.52
71,326,Rohit Kumar,Raider,1,/teams/bengaluru-bulls,14.0,Season 6,24.0,171.0,16.0,81.23,341.0,47.5,5.0,5.0,162.0,6.75,0.0,1.0,9.0,0.37,30.0,30.0
72,326,Rohit Kumar,Raider,1,/teams/bengaluru-bulls,14.0,Season 5,22.0,231.0,32.0,80.38,418.0,52.39,1.0,12.0,219.0,9.95,1.0,0.0,12.0,0.5,27.0,44.44
73,326,Rohit Kumar,Raider,1,/teams/bengaluru-bulls,14.0,Season 4,14.0,100.0,11.0,77.77,234.0,39.74,3.0,1.0,93.0,6.64,1.0,0.0,7.0,0.42,16.0,43.75
74,326,Rohit Kumar,Raider,1,/teams/bengaluru-bulls,14.0,Season 3,12.0,109.0,16.0,84.26,178.0,57.3,4.0,5.0,102.0,8.5,0.0,0.0,7.0,0.58,14.0,50.0
75,484,Mohammad Esmaeil Nabibakhsh,All Rounder,4,/teams/bengal-warriors,15.0,Overall,17.0,91.0,10.0,81.32,166.0,40.36,3.0,1.0,67.0,3.94,2.0,1.0,24.0,1.29,47.0,51.06
76,484,Mohammad Esmaeil Nabibakhsh,All Rounder,4,/teams/bengal-warriors,15.0,Season 7,17.0,91.0,10.0,81.32,166.0,40.36,3.0,1.0,67.0,3.94,2.0,1.0,24.0,1.29,47.0,51.06
77,2028,Abhishek Singh,Raider,5,/teams/u-mumba,16.0,Overall,29.0,141.0,13.0,81.87,309.0,43.36,3.0,6.0,134.0,4.62,0.0,0.0,7.0,0.24,31.0,22.58
78,2028,Abhishek Singh,Raider,5,/teams/u-mumba,16.0,Season 7,14.0,88.0,13.0,81.77,192.0,45.31,2.0,4.0,87.0,6.21,0.0,0.0,1.0,0.07,12.0,8.33
79,2028,Abhishek Singh,Raider,5,/teams/u-mumba,16.0,Season 6,15.0,53.0,13.0,82.05,117.0,40.17,1.0,2.0,47.0,3.13,0.0,0.0,6.0,0.4,19.0,31.57
80,2508,V. Ajith Kumar,Raider,29,/teams/tamil-thalaivas,17.0,Overall,15.0,89.0,18.0,70.46,149.0,59.73,1.0,3.0,89.0,5.93,0.0,0.0,0.0,0.0,9.0,0.0
81,2508,V. Ajith Kumar,Raider,29,/teams/tamil-thalaivas,17.0,Season 7,15.0,89.0,18.0,70.46,149.0,59.73,1.0,3.0,89.0,5.93,0.0,0.0,0.0,0.0,9.0,0.0
82,2488,Vinay,Raider,28,/teams/haryana-steelers,18.0,Overall,16.0,81.0,14.0,79.61,157.0,49.04,5.0,2.0,77.0,4.81,0.0,0.0,4.0,0.25,15.0,26.66
83,2488,Vinay,Raider,28,/teams/haryana-steelers,18.0,Season 7,16.0,81.0,14.0,79.61,157.0,49.04,5.0,2.0,77.0,4.81,0.0,0.0,4.0,0.25,15.0,26.66
84,757,Sachin Tanwar,Raider,31,/teams/gujarat-fortunegiants,19.0,Overall,62.0,461.0,14.0,76.13,859.0,50.29,4.0,16.0,432.0,6.96,3.0,0.0,29.0,0.41,55.0,52.72
85,757,Sachin Tanwar,Raider,31,/teams/gujarat-fortunegiants,19.0,Season 7,15.0,84.0,10.0,72.72,198.0,41.91,1.0,2.0,83.0,5.53,0.0,0.0,1.0,0.06,8.0,12.5
86,757,Sachin Tanwar,Raider,31,/teams/gujarat-fortunegiants,19.0,Season 6,23.0,204.0,12.0,78.14,366.0,51.91,1.0,7.0,190.0,8.26,2.0,0.0,14.0,0.52,22.0,63.63
87,757,Sachin Tanwar,Raider,31,/teams/gujarat-fortunegiants,19.0,Season 5,24.0,173.0,14.0,75.93,295.0,53.89,2.0,7.0,159.0,6.62,1.0,0.0,14.0,0.54,25.0,56.0
88,36,Chandran Ranjit,Raider,2,/teams/dabang-delhi-kc,19.0,Overall,57.0,295.0,11.0,75.46,652.0,43.71,9.0,5.0,285.0,5.0,2.0,0.0,10.0,0.14,41.0,24.39
89,36,Chandran Ranjit,Raider,2,/teams/dabang-delhi-kc,19.0,Season 7,15.0,79.0,11.0,73.65,186.0,40.32,3.0,1.0,75.0,5.0,1.0,0.0,4.0,0.2,14.0,28.57
